Valor;Tipo;Papel;Dia_com;Mes_com;Ano_com;Dia_pag;Mes_pag;Ano_pag;Status;Preço_Teto_Bazin;Dividendos_consistente?
0,1341;Proventos;AMBP3;15;5;2023;05;7;2023;;0,0;Não
0,3032;Proventos;AMBP3;4;5;2022;05;7;2022;;0,0;Não
0,0943;Proventos;AMBP3;30;4;2021;14;5;2021;;0,0;Não
0,2831;Proventos;USIM5;25;4;2024;24;6;2024;;4,72;Sim
0,3288;Proventos;USIM5;27;4;2023;27;6;2023;;4,72;Sim
0,6291;Proventos;USIM5;28;4;2022;27;6;2022;;4,72;Sim
0,193;Proventos;USIM5;15;12;2021;30;12;2021;;4,72;Sim
0,3845;Proventos;USIM5;31;8;2021;05;10;2021;;4,72;Sim
0,7113;Proventos;USIM5;31;8;2021;05;10;2021;;4,72;Sim
0,005;Proventos;USIM5;25;5;2021;07;6;2021;;4,72;Sim
0,1319;Proventos;USIM5;29;4;2021;31;5;2021;;4,72;Sim
0,0435;Proventos;USIM5;28;4;2020;29;5;2020;;4,72;Sim
0,0113;Proventos;USIM5;3;7;2019;15;7;2019;;4,72;Sim
0,0689;Proventos;USIM5;23;4;2019;31;5;2019;;4,72;Sim
0,0792;Proventos;USIM5;7;1;2019;31;5;2019;;4,72;Sim
0,0475;Proventos;USIM5;25;4;2018;30;5;2018;;4,72;Sim
0,2573;Proventos;USIM3;25;4;2024;24;6;2024;;4,29;Sim
0,2989;Proventos;USIM3;27;4;2023;27;6;2023;;4,29;Sim
0,5719;Proventos;USIM3;28;4;2022;27;6;2022;;4,29;Sim
0,1754;Proventos;USIM3;15;12;2021;30;12;2021;;4,29;Sim
0,3496;Proventos;USIM3;31;8;2021;05;10;2021;;4,29;Sim
0,6466;Proventos;USIM3;31;8;2021;05;10;2021;;4,29;Sim
0,0046;Proventos;USIM3;25;5;2021;07;6;2021;;4,29;Sim
0,1199;Proventos;USIM3;29;4;2021;31;5;2021;;4,29;Sim
0,0395;Proventos;USIM3;28;4;2020;29;5;2020;;4,29;Sim
0,0103;Proventos;USIM3;3;7;2019;15;7;2019;;4,29;Sim
0,0626;Proventos;USIM3;23;4;2019;31;5;2019;;4,29;Sim
0,072;Proventos;USIM3;7;1;2019;31;5;2019;;4,29;Sim
0,0432;Proventos;USIM3;25;4;2018;30;5;2018;;4,29;Sim
